customer_id,gender,is_female,is_senior_citizen,partner,dependents,partner_dependents,phone_service,has_phone,internet_service,has_internet,has_phone_and_internet,contract_type,payment_type,monthly_charges,total_charges,churn,has_churned,tenure,start_date,adjusted_monthly,avg_monthly_charges,contract_type,phone_service,internet_service,service_type
1784-BXEFA,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$48.60,$48.60,Yes,TRUE,1,2021-08-07,$48.60,$48.60,Month-to-Month,One Line,DSL,phone_and_internet
1810-BOHSY,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$29.15,$29.15,No,FALSE,1,2021-08-07,$29.15,$29.15,Month-to-Month,No Phone Service,DSL,internet_only
1839-UMACK,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$50.15,$50.15,No,FALSE,1,2021-08-07,$50.15,$50.15,Month-to-Month,One Line,DSL,phone_and_internet
1875-QIVME,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$43.95,$43.95,No,FALSE,1,2021-08-07,$43.95,$43.95,Month-to-Month,One Line,DSL,phone_and_internet
1921-KYSAY,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Electronic check,$61.15,$61.15,No,FALSE,1,2021-08-07,$61.15,$61.15,Month-to-Month,Two or More Lines,DSL,phone_and_internet
1934-SJVJK,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$44.00,$44.00,No,FALSE,1,2021-08-07,$44.00,$44.00,Month-to-Month,One Line,DSL,phone_and_internet
1952-DVVSW,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.30,$45.30,Yes,TRUE,1,2021-08-07,$45.30,$45.30,Month-to-Month,One Line,DSL,phone_and_internet
1965-AKTSX,Female,TRUE,1,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Electronic check,$46.00,$46.00,Yes,TRUE,1,2021-08-07,$46.00,$46.00,Month-to-Month,One Line,DSL,phone_and_internet
2039-JONDJ,Male,FALSE,0,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Mailed check,$55.70,$55.70,No,FALSE,1,2021-08-07,$55.70,$55.70,Month-to-Month,One Line,DSL,phone_and_internet
2040-OBMLJ,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$35.90,$35.90,No,FALSE,1,2021-08-07,$35.90,$35.90,Month-to-Month,No Phone Service,DSL,internet_only
2079-FBMZK,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.60,$45.60,Yes,TRUE,1,2021-08-07,$45.60,$45.60,Month-to-Month,One Line,DSL,phone_and_internet
2091-MJTFX,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Mailed check,$50.75,$50.75,No,FALSE,1,2021-08-07,$50.75,$50.75,Month-to-Month,Two or More Lines,DSL,phone_and_internet
2123-AGEEN,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.65,$45.65,Yes,TRUE,1,2021-08-07,$45.65,$45.65,Month-to-Month,One Line,DSL,phone_and_internet
2200-DSAAL,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$50.80,$50.80,Yes,TRUE,1,2021-08-07,$50.80,$50.80,Month-to-Month,One Line,DSL,phone_and_internet
2207-QPJED,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Bank transfer (automatic),$25.25,$25.25,No,FALSE,1,2021-08-07,$25.25,$25.25,Month-to-Month,No Phone Service,DSL,internet_only
2226-ICFDO,Female,TRUE,0,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Mailed check,$55.20,$55.20,Yes,TRUE,1,2021-08-07,$55.20,$55.20,Month-to-Month,One Line,DSL,phone_and_internet
2267-WTPYD,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$49.05,$49.05,No,FALSE,1,2021-08-07,$49.05,$49.05,Month-to-Month,One Line,DSL,phone_and_internet
2272-JKMSI,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.40,$45.40,No,FALSE,1,2021-08-07,$45.40,$45.40,Month-to-Month,One Line,DSL,phone_and_internet
2368-GAKKQ,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$44.35,$81.25,Yes,TRUE,1,2021-08-07,$81.25,$81.25,Month-to-Month,One Line,DSL,phone_and_internet
2378-YIZKA,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$53.50,$53.50,Yes,TRUE,1,2021-08-07,$53.50,$53.50,Month-to-Month,One Line,DSL,phone_and_internet
2480-JZOSN,Female,TRUE,0,Yes,No,1,0,FALSE,1,TRUE,FALSE,0,Electronic check,$35.10,$68.75,Yes,TRUE,1,2021-08-07,$68.75,$68.75,Month-to-Month,No Phone Service,DSL,internet_only
2603-HVKCG,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$49.00,$49.00,No,FALSE,1,2021-08-07,$49.00,$49.00,Month-to-Month,One Line,DSL,phone_and_internet
2664-XJZNO,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.15,$25.15,Yes,TRUE,1,2021-08-07,$25.15,$25.15,Month-to-Month,No Phone Service,DSL,internet_only
2667-WYLWJ,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$44.75,$44.75,No,FALSE,1,2021-08-07,$44.75,$44.75,Month-to-Month,One Line,DSL,phone_and_internet
2717-HVIZY,Female,TRUE,1,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Electronic check,$49.55,$49.55,Yes,TRUE,1,2021-08-07,$49.55,$49.55,Month-to-Month,One Line,DSL,phone_and_internet
2725-IWWBA,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$45.25,$85.50,Yes,TRUE,1,2021-08-07,$85.50,$85.50,Month-to-Month,No Phone Service,DSL,internet_only
2732-ISEZX,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Electronic check,$50.15,$50.15,No,FALSE,1,2021-08-07,$50.15,$50.15,Month-to-Month,Two or More Lines,DSL,phone_and_internet
2828-SLQPF,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.05,$45.05,Yes,TRUE,1,2021-08-07,$45.05,$45.05,Month-to-Month,One Line,DSL,phone_and_internet
2834-JKOOW,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$46.05,$80.35,Yes,TRUE,1,2021-08-07,$80.35,$80.35,Month-to-Month,One Line,DSL,phone_and_internet
2959-MJHIC,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$51.40,$96.80,No,FALSE,1,2021-08-07,$96.80,$96.80,Month-to-Month,No Phone Service,DSL,internet_only
3057-VJJQE,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$55.40,$55.40,Yes,TRUE,1,2021-08-07,$55.40,$55.40,Month-to-Month,One Line,DSL,phone_and_internet
3061-BCKYI,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,1,Mailed check,$25.85,$25.85,No,FALSE,1,2021-08-07,$25.85,$25.85,1 Year,No Phone Service,DSL,internet_only
3078-ZKNTS,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$43.95,$43.95,Yes,TRUE,1,2021-08-07,$43.95,$43.95,Month-to-Month,One Line,DSL,phone_and_internet
3086-RUCRN,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$35.45,$35.45,Yes,TRUE,1,2021-08-07,$35.45,$35.45,Month-to-Month,No Phone Service,DSL,internet_only
3096-IZETN,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$49.05,$91.10,Yes,TRUE,1,2021-08-07,$91.10,$91.10,Month-to-Month,One Line,DSL,phone_and_internet
3224-DFQNQ,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$70.30,$132.40,No,FALSE,1,2021-08-07,$132.40,$132.40,Month-to-Month,One Line,DSL,phone_and_internet
3266-FTKHB,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.25,$74.20,No,FALSE,1,2021-08-07,$74.20,$74.20,Month-to-Month,One Line,DSL,phone_and_internet
3323-CPBWR,Female,TRUE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$49.95,$49.95,Yes,TRUE,1,2021-08-07,$49.95,$49.95,Month-to-Month,Two or More Lines,DSL,phone_and_internet
3404-JNXAX,Male,FALSE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$45.25,$45.25,No,FALSE,1,2021-08-07,$45.25,$45.25,Month-to-Month,One Line,DSL,phone_and_internet
3424-NMNBO,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$24.40,$24.40,No,FALSE,1,2021-08-07,$24.40,$24.40,Month-to-Month,No Phone Service,DSL,internet_only
3508-VLHCZ,Female,TRUE,0,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Mailed check,$55.30,$55.30,No,FALSE,1,2021-08-07,$55.30,$55.30,Month-to-Month,One Line,DSL,phone_and_internet
3552-CTCYF,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.55,$45.55,No,FALSE,1,2021-08-07,$45.55,$45.55,Month-to-Month,One Line,DSL,phone_and_internet
3569-VLDHH,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$55.05,$55.05,No,FALSE,1,2021-08-07,$55.05,$55.05,Month-to-Month,One Line,DSL,phone_and_internet
3572-UOLYZ,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$55.00,$55.00,Yes,TRUE,1,2021-08-07,$55.00,$55.00,Month-to-Month,One Line,DSL,phone_and_internet
3606-SBKRY,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$54.45,$87.30,No,FALSE,1,2021-08-07,$87.30,$87.30,Month-to-Month,One Line,DSL,phone_and_internet
3649-JPUGY,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$54.90,$54.90,Yes,TRUE,1,2021-08-07,$54.90,$54.90,Month-to-Month,One Line,DSL,phone_and_internet
3658-QQJYD,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$46.20,$46.20,Yes,TRUE,1,2021-08-07,$46.20,$46.20,Month-to-Month,One Line,DSL,phone_and_internet
3712-PKXZA,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$49.30,$49.30,No,FALSE,1,2021-08-07,$49.30,$49.30,Month-to-Month,One Line,DSL,phone_and_internet
3745-HRPHI,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$35.05,$35.05,Yes,TRUE,1,2021-08-07,$35.05,$35.05,Month-to-Month,No Phone Service,DSL,internet_only
3766-EJLFL,Female,TRUE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$36.45,$36.45,Yes,TRUE,1,2021-08-07,$36.45,$36.45,Month-to-Month,No Phone Service,DSL,internet_only
3793-MMFUH,Male,FALSE,0,Yes,No,1,0,FALSE,1,TRUE,FALSE,0,Electronic check,$23.45,$23.45,Yes,TRUE,1,2021-08-07,$23.45,$23.45,Month-to-Month,No Phone Service,DSL,internet_only
3794-NFNCH,Female,TRUE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$43.95,$85.10,No,FALSE,1,2021-08-07,$85.10,$85.10,Month-to-Month,One Line,DSL,phone_and_internet
3823-KYNQY,Female,TRUE,0,Yes,No,1,0,FALSE,1,TRUE,FALSE,0,Electronic check,$35.00,$35.00,No,FALSE,1,2021-08-07,$35.00,$35.00,Month-to-Month,No Phone Service,DSL,internet_only
3870-MQAMG,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Electronic check,$59.85,$59.85,Yes,TRUE,1,2021-08-07,$59.85,$59.85,Month-to-Month,Two or More Lines,DSL,phone_and_internet
3913-RDSJZ,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$45.10,$45.10,Yes,TRUE,1,2021-08-07,$45.10,$45.10,Month-to-Month,One Line,DSL,phone_and_internet
3936-QQFLL,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$50.90,$50.90,Yes,TRUE,1,2021-08-07,$50.90,$50.90,Month-to-Month,One Line,DSL,phone_and_internet
3955-JBZZM,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$44.05,$44.05,No,FALSE,1,2021-08-07,$44.05,$44.05,Month-to-Month,One Line,DSL,phone_and_internet
3982-XWFZQ,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$60.85,$111.40,No,FALSE,1,2021-08-07,$111.40,$111.40,Month-to-Month,One Line,DSL,phone_and_internet
4020-KIUDI,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$30.90,$59.05,Yes,TRUE,1,2021-08-07,$59.05,$59.05,Month-to-Month,No Phone Service,DSL,internet_only
4057-FKCZK,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$49.50,$49.50,No,FALSE,1,2021-08-07,$49.50,$49.50,Month-to-Month,One Line,DSL,phone_and_internet
4062-HBMOS,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$54.75,$54.75,Yes,TRUE,1,2021-08-07,$54.75,$54.75,Month-to-Month,One Line,DSL,phone_and_internet
4139-SUGLD,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$44.60,$44.60,No,FALSE,1,2021-08-07,$44.60,$44.60,Month-to-Month,One Line,DSL,phone_and_internet
4188-PCPIG,Female,TRUE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.10,$45.10,Yes,TRUE,1,2021-08-07,$45.10,$45.10,Month-to-Month,One Line,DSL,phone_and_internet
4191-XOVOM,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.25,$25.25,No,FALSE,1,2021-08-07,$25.25,$25.25,Month-to-Month,No Phone Service,DSL,internet_only
4194-WHFCB,Female,TRUE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$55.80,$55.80,Yes,TRUE,1,2021-08-07,$55.80,$55.80,Month-to-Month,One Line,DSL,phone_and_internet
4195-PNGZS,Male,FALSE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$44.95,$85.15,Yes,TRUE,1,2021-08-07,$85.15,$85.15,Month-to-Month,One Line,DSL,phone_and_internet
4227-OJHAL,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$24.50,$46.40,No,FALSE,1,2021-08-07,$46.40,$46.40,Month-to-Month,No Phone Service,DSL,internet_only
4231-LZUYM,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.85,$45.85,Yes,TRUE,1,2021-08-07,$45.85,$45.85,Month-to-Month,One Line,DSL,phone_and_internet
4310-KEDTB,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$50.75,$50.75,Yes,TRUE,1,2021-08-07,$50.75,$50.75,Month-to-Month,One Line,DSL,phone_and_internet
4335-BSMJS,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Electronic check,$54.35,$54.35,Yes,TRUE,1,2021-08-07,$54.35,$54.35,Month-to-Month,Two or More Lines,DSL,phone_and_internet
4338-EYCER,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$55.00,$55.00,Yes,TRUE,1,2021-08-07,$55.00,$55.00,Month-to-Month,One Line,DSL,phone_and_internet
4360-QRAVE,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$24.90,$24.90,No,FALSE,1,2021-08-07,$24.90,$24.90,Month-to-Month,No Phone Service,DSL,internet_only
4366-CTOUZ,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$44.75,$44.75,No,FALSE,1,2021-08-07,$44.75,$44.75,Month-to-Month,One Line,DSL,phone_and_internet
4424-TKOPW,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$44.65,$74.90,Yes,TRUE,1,2021-08-07,$74.90,$74.90,Month-to-Month,One Line,DSL,phone_and_internet
4529-CKBCL,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.55,$84.40,No,FALSE,1,2021-08-07,$84.40,$84.40,Month-to-Month,One Line,DSL,phone_and_internet
4656-CAURT,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$62.05,$118.30,Yes,TRUE,1,2021-08-07,$118.30,$118.30,Month-to-Month,Two or More Lines,DSL,phone_and_internet
4671-VJLCL,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$52.20,$52.20,Yes,TRUE,1,2021-08-07,$52.20,$52.20,Month-to-Month,One Line,DSL,phone_and_internet
4701-MLJPN,Male,FALSE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.20,$45.20,No,FALSE,1,2021-08-07,$45.20,$45.20,Month-to-Month,One Line,DSL,phone_and_internet
4718-WXBGI,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$55.55,$55.55,No,FALSE,1,2021-08-07,$55.55,$55.55,Month-to-Month,One Line,DSL,phone_and_internet
4741-WWJQZ,Female,TRUE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Mailed check,$50.10,$50.10,Yes,TRUE,1,2021-08-07,$50.10,$50.10,Month-to-Month,Two or More Lines,DSL,phone_and_internet
4836-WNFNO,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$44.90,$44.90,Yes,TRUE,1,2021-08-07,$44.90,$44.90,Month-to-Month,One Line,DSL,phone_and_internet
4849-PYRLQ,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$44.10,$44.10,Yes,TRUE,1,2021-08-07,$44.10,$44.10,Month-to-Month,One Line,DSL,phone_and_internet
4919-MOAVT,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$53.55,$53.55,Yes,TRUE,1,2021-08-07,$53.55,$53.55,Month-to-Month,One Line,DSL,phone_and_internet
4955-VCWBI,Female,TRUE,0,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Credit card (automatic),$44.60,$80.55,Yes,TRUE,1,2021-08-07,$80.55,$80.55,Month-to-Month,One Line,DSL,phone_and_internet
5071-FBJFS,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.30,$45.30,Yes,TRUE,1,2021-08-07,$45.30,$45.30,Month-to-Month,One Line,DSL,phone_and_internet
